close,epoch,high,low,open
1221.56,1749593040,1223.68,1221.56,1223.64
1222.48,1749593100,1223.27,1220.96,1221.21
1221.79,1749593160,1222.74,1219.84,1222.37
1219.0,1749593220,1222.12,1219.0,1221.98
1220.02,1749593280,1220.2,1217.94,1218.85
1219.69,1749593340,1221.54,1217.92,1220.03
1217.88,1749593400,1219.9,1217.77,1219.9
1217.66,1749593460,1219.76,1217.66,1218.2
1219.03,1749593520,1219.33,1216.99,1217.57
1220.54,1749593580,1221.89,1218.64,1218.64
1218.95,1749593640,1220.65,1218.29,1220.37
1220.9,1749593700,1220.92,1218.05,1219.54
1218.89,1749593760,1221.02,1218.89,1220.77
1218.07,1749593820,1219.53,1218.07,1219.21
1217.61,1749593880,1218.46,1217.01,1217.66
1217.4,1749593940,1217.76,1216.37,1217.41
1218.4,1749594000,1218.77,1216.57,1218.0
1217.39,1749594060,1218.8,1217.09,1218.42
1214.59,1749594120,1217.64,1214.09,1217.64
1211.96,1749594180,1214.59,1211.23,1214.37
1208.55,1749594240,1212.38,1208.19,1212.14
1205.47,1749594300,1209.1,1205.47,1208.85
1205.4,1749594360,1207.24,1205.33,1205.76
1205.64,1749594420,1207.19,1205.31,1205.32
1207.29,1749594480,1208.31,1205.53,1205.53
1206.96,1749594540,1208.06,1206.04,1207.21
1205.42,1749594600,1206.87,1205.42,1206.28
1207.97,1749594660,1208.51,1205.57,1205.57
1208.7,1749594720,1209.81,1207.43,1207.58
1205.76,1749594780,1208.9,1205.19,1208.9
1206.39,1749594840,1207.05,1204.79,1206.14
1204.76,1749594900,1206.58,1204.01,1206.35
1202.78,1749594960,1205.28,1202.54,1205.11
1201.47,1749595020,1203.66,1201.19,1202.81
1199.44,1749595080,1201.83,1199.0,1201.56
1202.13,1749595140,1202.13,1199.23,1199.53
1200.24,1749595200,1202.61,1200.17,1202.09
1202.18,1749595260,1202.66,1200.1,1200.42
1202.54,1749595320,1203.89,1201.01,1201.58
1202.6,1749595380,1202.79,1200.78,1202.53
1201.3,1749595440,1203.59,1201.3,1203.05
1202.34,1749595500,1202.58,1200.79,1201.05
